Name;Preview;Price;URL
Гладкий свитшот;https://www.reserved.com/media/catalog/product/cache/850/a4e40ebdc3e371adff845072e1c73f37/Z/U/ZU288-08X-002-1_2.jpg;799RUB;https://www.reserved.com/ru/ru/zu288-08x
Футболка с рождественским принтом;https://www.reserved.com/media/catalog/product/cache/850/a4e40ebdc3e371adff845072e1c73f37/6/6/6621H-01X-010-1_1.jpg;599RUB;https://www.reserved.com/ru/ru/6621h-01x
Худи;https://www.reserved.com/media/catalog/product/cache/850/a4e40ebdc3e371adff845072e1c73f37/Z/U/ZU278-29X-002-1.jpg;1299RUB;https://www.reserved.com/ru/ru/zu278-29x
Худи;https://www.reserved.com/media/catalog/product/cache/850/a4e40ebdc3e371adff845072e1c73f37/Z/U/ZU278-22X-010-1_1.jpg;1299RUB;https://www.reserved.com/ru/ru/zu278-22x
Худи;https://www.reserved.com/media/catalog/product/cache/850/a4e40ebdc3e371adff845072e1c73f37/Z/U/ZU278-71X-001-1.jpg;1299RUB;https://www.reserved.com/ru/ru/zu278-71x
Стеганая куртка;https://www.reserved.com/media/catalog/product/cache/850/a4e40ebdc3e371adff845072e1c73f37/4/5/4509C-99X-002-1_1.jpg;2599RUB;https://www.reserved.com/ru/ru/4509c-99x
Утепленная куртка-рубашка;https://www.reserved.com/media/catalog/product/cache/850/a4e40ebdc3e371adff845072e1c73f37/5/8/5867H-99X-002-1_2.jpg;2599RUB;https://www.reserved.com/ru/ru/5867h-99x
Утепленная куртка-рубашка;https://www.reserved.com/media/catalog/product/cache/850/a4e40ebdc3e371adff845072e1c73f37/5/8/5867H-89X-001-1_2.jpg;2599RUB;https://www.reserved.com/ru/ru/5867h-89x
Утепленная куртка-рубашка;https://www.reserved.com/media/catalog/product/cache/850/a4e40ebdc3e371adff845072e1c73f37/5/8/5867H-08X-001-1_2.jpg;2599RUB;https://www.reserved.com/ru/ru/5867h-08x
Утепленная куртка-рубашка;https://www.reserved.com/media/catalog/product/cache/850/a4e40ebdc3e371adff845072e1c73f37/5/8/5867H-05X-001-1_2.jpg;2599RUB;https://www.reserved.com/ru/ru/5867h-05x
